model,doorCount,bodyStyle,sizeSegment,wheelbase,platform, powerTrain__engineCapacity ,powerTrain__engine,transmission__gearCount,transmission__type,assembly__001,exported,manufactureYear,endOfProduction
Proton Saga 1985,4,Sedan,B,2380,Mitsubishi C10, 1.3 ,4G13P,3,Auto,Malaysia,TRUE,1985,1992
Proton Saga 1985,4,Sedan,B,2380,Mitsubishi C10, 1.3 ,4G13P,5,Manual,Malaysia,TRUE,1985,1992
Proton Saga 1985,4,Sedan,B,2380,Mitsubishi C10, 1.5 ,4G15P,3,Auto,Malaysia,TRUE,1985,1992
Proton Saga 1985,4,Sedan,B,2380,Mitsubishi C10, 1.5 ,4G15P,5,Manual,Malaysia,TRUE,1985,1992
Proton Saga Iswara,4,Sedan,B,2380,Mitsubishi C10, 1.3 ,4G13P,3,Auto,Malaysia,TRUE,1992,2006
Proton Saga Iswara,4,Sedan,B,2380,Mitsubishi C10, 1.3 ,4G13P,5,Manual,Malaysia,TRUE,1992,2006
Proton Saga Iswara,4,Sedan,B,2380,Mitsubishi C10, 1.5 ,4G15P,3,Auto,Malaysia,TRUE,1992,2006
Proton Saga Iswara,4,Sedan,B,2380,Mitsubishi C10, 1.5 ,4G15P,5,Manual,Malaysia,TRUE,1992,2006
Proton Saga Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.3 ,4G13P,3,Auto,Malaysia,TRUE,1987,1992
Proton Saga Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.3 ,4G13P,5,Manual,Malaysia,TRUE,1987,1992
Proton Saga Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.5 ,4G15P,3,Auto,Malaysia,TRUE,1987,1992
Proton Saga Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.5 ,4G15P,5,Manual,Malaysia,TRUE,1987,1992
Proton Saga Iswara Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.3 ,4G13P,3,Auto,Malaysia,TRUE,1992,2003
Proton Saga Iswara Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.3 ,4G13P,5,Manual,Malaysia,TRUE,1992,2003
Proton Saga Iswara Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.5 ,4G15P,3,Auto,Malaysia,TRUE,1992,2003
Proton Saga Iswara Aeroback,5,Hatchback,B,2380,Mitsubishi C10, 1.5 ,4G15P,5,Manual,Malaysia,TRUE,1992,2003
Proton Saga LMST,5,Hatchback,B,2380,Mitsubishi C10, 1.3 ,4G13P,5,Manual,Malaysia,TRUE,2003,2008
Proton Satria GTi,3,Hatchback,C,2440,Mitsubishi CA, 1.8 ,4G93P,5,Manual,Malaysia,TRUE,1998,2005
Proton Putra,2,Coupe,C,2440,Mitsubishi CC, 1.8 ,4G93P,5,Manual,Malaysia,TRUE,1994,2001
Proton Putra,2,Coupe,C,2440,Mitsubishi CC, 1.8 ,4G93P,4,Auto,Malaysia,TRUE,1994,2001
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH,4,Auto,Malaysia,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH,5,Manual,Malaysia,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH IAFM,4,Auto,Malaysia,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH IAFM,5,Manual,Malaysia,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH,4,Auto,China,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH,5,Manual,China,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH IAFM,4,Auto,China,TRUE,2007,2016
Proton Persona 2007,4,Sedan,C,2600,Proton CM, 1.6 ,S4PH IAFM,5,Manual,China,TRUE,2007,2016
Proton Arena,2,Pickup,C,2600,Mitsubishi CB, 1.8 ,4G15P,5,Manual,Malaysia,TRUE,2002,2010
Proton Perdana,4,Sedan,D,2635,Mitsubishi E50, 2.0 ,4G63P,5,Manual,Malaysia,TRUE,1995,1998
Proton Perdana,4,Sedan,D,2635,Mitsubishi E50, 2.0 ,4G63P,4,Auto,Malaysia,TRUE,1995,1998
Proton Persona,4,Sedan,B,2555,Proton BH, 1.6 ,S4PH VVT,5,Manual,Malaysia,TRUE,2016,3000
Proton Persona,4,Sedan,B,2555,Proton BH, 1.6 ,S4PH VVT,100,CVT,Malaysia,TRUE,2016,3000
Proton Ertiga,5,MPV,B,2740,Suzuki ZC, 1.4 ,K14B,5,Manual,Malaysia,FALSE,2016,2019
Proton Ertiga,5,MPV,B,2740,Suzuki ZC, 1.4 ,K14B,4,Auto,Malaysia,FALSE,2016,2019
Proton Perdana v6,4,Sedan,D,2635,Mitsubishi E50, 2.0 ,6A12,4,Auto,Malaysia,TRUE,1998,2010
Proton Tiara,5,Hatchback,A,2290,Citroen AX, 1.1 ,TU1x,5,Manual,Malaysia,FALSE,1996,2000
Proton Savvy,5,Hatchback,A,2395,Proton BT, 1.2 ,D4F,5,Manual,Malaysia,TRUE,2005,2011
Proton Saga 2016,4,Sedan,B,2465,Proton BT, 1.3 ,S4PE VVT,5,Manual,Malaysia,TRUE,2016,3000
